amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,dd_rank,fund_score
119092.0,0.0636349475771898,0.03078485095458594,0.0689952982167755,0.009730745001153637,-0.1440161790933726,0.2,0.25,0.275,0.375,21.5
119093.0,0.07891944369437343,0.12961449795669328,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.325,0.3,0.325,0.775,31.5
119094.0,0.28192608222062465,0.9982309868636413,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,0.8,0.75,0.8,0.7,65.75
119095.0,0.015204552427132478,-0.0759735711747892,0.048015953637759554,-0.066951174639292,-0.5167775370852656,0.05,0.2,0.1,0.975,18.25
119120.0,0.05885271270380055,-0.22657538662791576,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,0.175,0.1,0.175,0.125,12.5
119551.0,0.2578492084946409,1.2082665673727175,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,0.775,0.925,0.775,0.425,66.125
119552.0,0.21508021785499332,0.9532794968660104,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,0.65,0.725,0.65,0.275,53.375
119598.0,0.3239808398464554,0.9453082575156095,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,0.975,0.675,1.0,0.9,75.125
119599.0,0.02053064146209893,-0.05718662582817995,0.048824215945539845,0.06200180438267168,-0.5257422117012851,0.075,0.225,0.125,1.0,20.375
120503.0,0.18771330105513617,0.7979728586052847,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,0.6,0.6,0.6,0.35,48.5
120504.0,0.2327744753273051,1.0265242847993001,0.2119482701352573,0.016232169761417007,-0.12588275606922517,0.7,0.775,0.7,0.3,57.375
120505.0,0.3280159948038617,1.1801011976606492,0.2926358334175106,0.000549004250631712,-0.18188513572116294,1.0,0.9,0.95,0.625,77.75
120506.0,0.17072227512921923,0.6488787755249532,0.1625385327998104,0.04189646272811977,-0.1982565826298267,0.55,0.525,0.525,0.675,46.875
120507.0,0.0723241093234459,0.4957233929533123,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,0.3,0.45,0.25,0.025,25.5
120841.0,0.13522349085511554,0.4942725378672349,0.13042924450705445,0.036356399022199795,-0.1757361416468729,0.425,0.425,0.4,0.6,37.375
120842.0,0.06696806255006482,0.07599984804658923,0.0780443887615508,0.01805687420811816,-0.24003511326274884,0.25,0.275,0.3,0.825,28.625
120843.0,0.30883325525154603,1.3067439695428409,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,0.875,0.975,0.9,0.325,71.875
120844.0,0.0691037983940288,-0.08874729621557288,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,0.275,0.175,0.225,0.05,17.625
125497.0,0.19003613208378556,0.7757902498211205,0.17729754927531766,0.04882040425957739,-0.15200013055606398,0.625,0.575,0.625,0.45,50.125
125498.0,0.11293660210400969,0.30061192104254786,0.11989100971217971,0.009054412621739154,-0.21117279560132118,0.375,0.35,0.375,0.725,34.75
148567.0,0.30949920362874206,1.4482911703262598,0.2698375144191807,0.023683558075848623,-0.11265729075028275,0.9,1.0,0.85,0.2,71.0
148568.0,0.22499840384352243,0.9262873467360144,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,0.675,0.65,0.675,0.475,54.75
148569.0,0.31924485848158723,1.2349300257743294,0.2827036785246582,0.018133884083859245,-0.1639674294693263,0.925,0.95,0.925,0.525,75.25
149322.0,0.13383520958789363,0.46403744922047774,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,0.4,0.4,0.425,0.4,34.5
149323.0,0.29558105232568344,1.1321218524747243,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,0.825,0.875,0.825,0.55,68.625
149324.0,0.3226210752841656,0.9497958246616031,0.3005787817097677,0.011455159960520708,-0.31171900300634214,0.95,0.7,0.975,0.925,74.75
